Number of Correct Guesses,Repeat Number,Time Up To Now
509532,1,0:01:57.330947
509548,2,0:04:03.982955
510964,3,0:06:13.250453
509542,4,0:08:19.755947
510036,5,0:10:26.929647
509590,6,0:12:36.106785
509730,7,0:14:34.582251
510110,8,0:16:05.618997
509945,9,0:17:27.217967
511135,10,0:18:48.972292
510340,11,0:20:09.681538
509337,12,0:21:30.950560
510358,13,0:22:51.432316
509759,14,0:24:12.509994
509843,15,0:25:33.846632
509318,16,0:26:55.237923
510258,17,0:28:16.277714
510294,18,0:29:37.554178
510410,19,0:30:58.600253
509679,20,0:32:19.955810
510213,21,0:33:41.343156
509358,22,0:35:03.986109
509301,23,0:36:25.272359
510094,24,0:37:47.199685
509599,25,0:39:08.820056
509751,26,0:40:30.366897
509285,27,0:41:51.723402
509249,28,0:43:13.382576
511333,29,0:44:34.583147
509731,30,0:45:56.263493
509708,31,0:47:17.930876
509611,32,0:48:39.348392
509969,33,0:50:01.900406
510109,34,0:51:56.640414
510390,35,0:54:07.427259
509966,36,0:56:18.329386
509544,37,0:58:26.216351
510261,38,1:00:33.818768
509277,39,1:02:41.047752
509475,40,1:04:48.301488
510437,41,1:06:57.861058
510201,42,1:09:06.342910
509081,43,1:11:13.249737
509289,44,1:13:20.570863
509641,45,1:15:27.598488
509492,46,1:17:35.624386
510525,47,1:19:44.459270
510202,48,1:21:52.361243
510622,49,1:24:00.096908
510762,50,1:26:09.167199
510112,51,1:28:16.707612
510005,52,1:30:24.240197
510174,53,1:32:31.936374
509022,54,1:34:41.247689
509771,55,1:36:49.376446
510218,56,1:38:56.967897
509674,57,1:41:06.371054
509489,58,1:43:13.368304
508978,59,1:45:20.847851
510702,60,1:47:27.656618
510205,61,1:49:35.252792
509271,62,1:51:42.598597
509801,63,1:53:50.431480
510384,64,1:55:59.952934
509785,65,1:58:06.852978
509888,66,2:00:14.460689
509604,67,2:02:22.019932
509222,68,2:04:29.991463
508983,69,2:06:39.124087
509644,70,2:08:47.073654
509576,71,2:10:53.902477
510317,72,2:13:01.953347
509537,73,2:15:09.756180
509325,74,2:17:18.667397
509472,75,2:19:28.753013
509679,76,2:21:36.189973
509949,77,2:23:44.304685
510897,78,2:25:51.922495
510310,79,2:28:00.855487
509620,80,2:30:07.637605
509458,81,2:32:16.163274
510125,82,2:34:23.668699
509398,83,2:36:33.340859
509994,84,2:38:40.781071
509793,85,2:40:48.798988
509819,86,2:42:57.468097
510276,87,2:45:05.550379
509027,88,2:47:13.038047
509442,89,2:49:20.277444
508990,90,2:51:27.952735
509413,91,2:53:35.551278
510345,92,2:55:44.582862
509353,93,2:57:52.450850
510181,94,2:59:59.475403
509925,95,3:02:06.766900
509814,96,3:04:13.802389
510075,97,3:06:21.906993
509892,98,3:08:29.492673
509446,99,3:10:36.617432
510442,100,3:12:43.887432
508536,101,3:14:50.658686
509069,102,3:16:57.924345
509138,103,3:19:05.395586
510157,104,3:21:12.981869
510002,105,3:23:22.715216
509254,106,3:25:30.657139
509731,107,3:27:37.785953
509396,108,3:29:45.171200
509492,109,3:31:53.646352
511016,110,3:34:02.228908
510205,111,3:36:09.980117
509042,112,3:38:17.449117
509886,113,3:40:24.906275
510398,114,3:42:33.580601
510320,115,3:44:40.898817
510224,116,3:46:48.813923
509484,117,3:48:56.261258
